Ejecucion,Fitness_F_P(x),x_BB,x_LOP,x_ILI,x_HEAL,x_QUI,x_AUA,Retorno (%),Riesgo (var),Suma_pesos,P(x)
1,0.643790,0.0302,0.1516,0.3756,0.0095,0.3872,0.0458,64.20,0.057675,1.0000,0.00000000
2,0.645698,0.0413,0.1094,0.3944,0.1766,0.1527,0.1256,64.48,0.049263,1.0000,0.00000000
3,0.686095,0.0000,0.0616,0.3980,0.3200,0.2121,0.0083,68.39,0.044257,1.0000,0.00000000
4,0.687051,0.0000,0.0235,0.3981,0.2748,0.3033,0.0003,68.50,0.047660,1.0000,0.00000000
5,0.657586,0.0354,0.1769,0.3987,0.1721,0.1560,0.0608,65.61,0.052855,1.0000,0.00000000
6,0.652425,0.0317,0.0780,0.3968,0.1841,0.1850,0.1244,65.04,0.048021,1.0000,0.00000000
7,0.659012,0.0001,0.3025,0.3975,0.0002,0.2647,0.0350,65.69,0.075840,1.0000,0.00000000
8,0.669549,0.0012,0.1258,0.3950,0.2702,0.1428,0.0650,66.83,0.044342,1.0000,0.00000000
9,0.626375,0.0000,0.2249,0.3088,0.3972,0.0118,0.0573,62.45,0.028423,1.0000,0.00000000
10,0.681863,0.0000,0.1241,0.3976,0.2481,0.2298,0.0004,67.96,0.046887,1.0000,0.00000000

Indicador Problema 3 - Maximizar retorno (riesgo <= 20%),Retorno (%),Riesgo (var)
Mejor,68.4975,0.028423
Media,65.9159,0.049522
Peor,62.4482,0.075840
Desv. Estandar,1.8913,0.011325
